date,region,sales,orders,total_sessions,total_carts,total_checkouts,total_pageviews
11/11/2023,Yucatán,12789.71,10,1124,64,61,4056
26/09/2024,Quintana Roo,12808.76,6,1448,55,19,4096
16/09/2024,Chiapas,12814.93,3,501,14,11,1486
01/07/2024,Querétaro,12820.31,9,1879,71,39,6310
27/10/2023,Zacatecas,12824.75,2,345,16,8,1060
14/05/2024,Puebla,12824.82,6,1218,48,34,3454
17/11/2023,Chiapas,12824.85,5,639,32,26,2063
15/10/2023,México,12847.6,19,6959,277,92,19785
24/08/2024,Yucatán,12854.81,7,1461,48,24,4591
13/09/2024,Sinaloa,12865.3,7,1293,47,15,3534
01/06/2024,Nuevo León,12871.59,10,3023,116,52,9309
22/09/2024,Puebla,12873.81,9,1633,64,24,4608
09/11/2023,Veracruz,12876.47,8,1978,46,46,6023
17/11/2023,Nayarit,12879.62,3,276,16,17,1081
22/04/2024,Nuevo León,12880.13,21,4975,142,78,13984
09/09/2024,Nuevo León,12886.99,17,7496,285,103,20569
19/07/2024,Chihuahua,12890.47,12,2100,144,44,6777
30/07/2024,Sonora,12891.78,14,1494,79,37,4973
30/07/2024,Puebla,12897.27,14,1789,76,45,5716
03/04/2024,Tabasco,12899.87,4,1104,35,24,3362
15/05/2024,Sinaloa,12918.02,12,6330,205,61,17013
21/02/2024,Guanajuato,12923.33,6,935,32,29,2804
31/03/2024,Guanajuato,12939.86,7,1472,45,26,4301
14/04/2024,Puebla,12941.97,8,1507,53,25,4469
20/03/2024,Quintana Roo,12943.99,5,1127,41,20,3503
29/04/2024,Veracruz,12946.36,10,2287,93,34,6425
16/05/2024,Tamaulipas,12950.96,7,2361,68,21,5997
29/01/2024,Aguascalientes,12951.67,3,258,10,7,701
11/08/2024,Yucatán,12964.94,5,1347,54,28,4258
17/07/2024,Michoacán,12967.44,12,1954,91,37,5876
30/08/2024,Sinaloa,12968.88,8,1426,49,20,4019
08/04/2024,Chihuahua,12969.98,2,1471,42,21,3982
04/12/2023,Querétaro,12978.06,15,1967,93,75,5634
04/11/2023,Nuevo León,12983.09,17,3771,119,81,11661
28/09/2023,Chihuahua,12987.02,5,630,32,8,1931
